State,State_Abb,Millionsdollars_2023,Millionsdollars_2024
Connecticut,CT,"345,912","365,723"
Maine ,ME,"93,270","98,606"
Massachusetts ,MA,"736,296","780,666"
New Hampshire ,NH,"114,101","121,189"
Rhode Island ,RI,"77,574","82,493"
Vermont ,VT,"43,534","45,707"
Delaware ,DE,"98,069","103,253"
District of Columbia ,DC,"176,502","186,165"
Maryland ,MD,"515,607","542,766"
New Jersey,NJ,"806,665","846,587"
New York,NY,"2,172,010","2,297,028"
Pennsylvania ,PA,"976,361","1,024,206"
Illinois ,IL,"1,098,346","1,137,244"
Indiana,IN,"499,503","527,381"
Michigan ,MI,"673,818","706,616"
Ohio ,OH,"884,834","927,740"
Wisconsin ,WI,"428,447","451,285"
Iowa ,IA,"254,032","257,021"
Kansas,KS,"228,232","234,673"
Minnesota ,MN,"483,162","500,851"
Missouri ,MO,"430,114","451,201"
Nebraska,NE,"181,285","185,411"
North Dakota ,ND,"76,043","75,399"
South Dakota ,SD,"74,034","75,179"
Alabama ,AL,"304,936","321,238"
Arkansas,AR,"178,606","188,723"
Florida ,FL,"1,600,811","1,705,565"
Georgia ,GA,"831,828","882,535"
Kentucky,KY,"279,707","293,021"
Louisiana ,LA,"314,989","327,782"
Mississippi ,MS,"151,147","157,491"
North Carolina ,NC,"788,103","839,122"
South Carolina ,SC,"327,420","349,965"
Tennessee ,TN,"523,032","549,709"
Virginia ,VA,"719,897","764,475"
West Virginia ,WV,"102,152","107,660"
Arizona ,AZ,"522,767","552,167"
New Mexico,NM,"135,010","140,542"
Oklahoma,OK,"256,689","265,779"
Texas,TX,"2,583,866","2,709,393"
Colorado ,CO,"529,627","553,323"
Idaho ,ID,"120,958","128,132"
Montana ,MT,"73,255","75,999"
Utah ,UT,"281,329","300,904"
Wyoming ,WY,"51,991","52,946"
Alaska ,AK,"68,056","69,969"
California ,CA,"3,870,379","4,103,124"
Hawaii ,HI,"110,265","115,627"
Nevada,NV,"245,979","260,728"
Oregon ,OR,"318,884","331,029"
Washington,WA,"807,865","854,683"
