State,State_abb, Registration Count 
Alabama,AL,"13,047"
Alaska,AK,"2,697"
Arizona,AZ,"89,798"
Arkansas,AR,"7,108"
California,CA,"1,256,646"
Colorado,CO,"90,083"
Connecticut,CT,"31,557"
Delaware,DE,"8,435"
District of Columbia,DC,"8,066"
Florida,FL,"254,878"
Georgia,GA,"92,368"
Hawaii,HI,"25,565"
Idaho,ID,"8,501"
Illinois,IL,"99,573"
Indiana,IN,"26,101"
Iowa,IA,"9,031"
Kansas,KS,"11,271"
Kentucky,KY,"11,617"
Louisiana,LA,"8,150"
Maine,ME,"7,377"
Maryland,MD,"72,139"
Massachusetts,MA,"73,768"
Michigan,MI,"50,284"
Minnesota,MN,"37,050"
Mississippi,MS,"3,590"
Missouri,MO,"26,861"
Montana,MT,"4,608"
Nebraska,NE,"6,920"
Nevada,NV,"47,361"
New Hampshire,NH,"9,861"
New Jersey,NJ,"134,753"
New Mexico,NM,"10,276"
New York,NY,"131,250"
North Carolina,NC,"70,164"
North Dakota,ND,959
Ohio,OH,"50,393"
Oklahoma,OK,"22,843"
Oregon,OR,"64,361"
Pennsylvania,PA,"70,154"
Rhode Island,RI,"6,396"
South Carolina,SC,"20,873"
South Dakota,SD,"1,675"
Tennessee,TN,"33,221"
Texas,TX,"230,125"
Utah,UT,"39,998"
Vermont,VT,"7,816"
Virginia,VA,"84,936"
Washington,WA,"152,101"
West Virginia,WV,"2,758"
Wisconsin,WI,"24,943"
Wyoming,WY,"1,139"
Total,Total,"3,555,445"
