"","Facility Type","TypeCount"
"1","AIRPORT",147
"2","ARENA",9
"3","AUTO_REPAIR",49
"4","BANK",88
"5","BREWERY_DISTILLERY_WINERY",284
"6","B_AND_B",84
"7","CAMPGROUND",31
"8","CARWASH",12
"9","CAR_DEALER",2892
"10","COLLEGE_CAMPUS",478
"11","CONVENIENCE_STORE",256
"12","CONVENTION_CENTER",20
"13","COOP",23
"14","FACTORY",33
"15","FED_GOV",795
"16","FIRE_STATION",22
"17","FLEET_GARAGE",78
"18","FUEL_RESELLER",5
"19","GAS_STATION",472
"20","GROCERY",387
"21","HARDWARE_STORE",12
"22","HOSPITAL",227
"23","HOTEL",3149
"24","INN",358
"25","LIBRARY",143
"26","MIL_BASE",21
"27","MOTOR_POOL",5
"28","MULTI_UNIT_DWELLING",268
"29","MUNI_GOV",722
"30","MUSEUM",91
"31","NATL_PARK",123
"32","OFFICE_BLDG",1136
"33","OTHER",270
"34","OTHER_ENTERTAINMENT",133
"35","PARK",222
"36","PARKING_GARAGE",495
"37","PARKING_LOT",1180
"38","PAY_GARAGE",404
"39","PAY_LOT",35
"40","PHARMACY",3
"41","PLACE_OF_WORSHIP",40
"42","PRISON",16
"43","PUBLIC",1316
"44","REC_SPORTS_FACILITY",135
"45","RENTAL_CAR_RETURN",4
"46","RESEARCH_FACILITY",35
"47","RESTAURANT",475
"48","REST_STOP",28
"49","RETAIL",47
"50","RV_PARK",6
"51","SCHOOL",159
"52","SHOPPING_CENTER",720
"53","SHOPPING_MALL",148
"54","STADIUM",3
"55","STANDALONE_STATION",45
"56","STATE_GOV",96
"57","STORAGE",5
"58","STREET_PARKING",77
"59","TRAVEL_CENTER",140
"60","TRUCK_STOP",23
"61","UTILITY",430
"62","WORKPLACE",9
"63",NA,62861
