"","Facility Type","Access Code","TypeCount"
"1","AIRPORT","private",34
"2","AIRPORT","public",113
"3","ARENA","public",9
"4","AUTO_REPAIR","private",11
"5","AUTO_REPAIR","public",38
"6","BANK","private",38
"7","BANK","public",50
"8","BREWERY_DISTILLERY_WINERY","private",8
"9","BREWERY_DISTILLERY_WINERY","public",276
"10","B_AND_B","private",2
"11","B_AND_B","public",82
"12","CAMPGROUND","public",31
"13","CARWASH","public",12
"14","CAR_DEALER","private",990
"15","CAR_DEALER","public",1902
"16","COLLEGE_CAMPUS","private",76
"17","COLLEGE_CAMPUS","public",402
"18","CONVENIENCE_STORE","public",256
"19","CONVENTION_CENTER","private",1
"20","CONVENTION_CENTER","public",19
"21","COOP","private",1
"22","COOP","public",22
"23","FACTORY","private",30
"24","FACTORY","public",3
"25","FED_GOV","private",780
"26","FED_GOV","public",15
"27","FIRE_STATION","private",2
"28","FIRE_STATION","public",20
"29","FLEET_GARAGE","private",54
"30","FLEET_GARAGE","public",24
"31","FUEL_RESELLER","private",2
"32","FUEL_RESELLER","public",3
"33","GAS_STATION","public",472
"34","GROCERY","private",6
"35","GROCERY","public",381
"36","HARDWARE_STORE","public",12
"37","HOSPITAL","private",63
"38","HOSPITAL","public",164
"39","HOTEL","private",58
"40","HOTEL","public",3091
"41","INN","private",4
"42","INN","public",354
"43","LIBRARY","private",8
"44","LIBRARY","public",135
"45","MIL_BASE","private",21
"46","MOTOR_POOL","private",2
"47","MOTOR_POOL","public",3
"48","MULTI_UNIT_DWELLING","public",268
"49","MUNI_GOV","private",183
"50","MUNI_GOV","public",539
"51","MUSEUM","private",4
"52","MUSEUM","public",87
"53","NATL_PARK","private",83
"54","NATL_PARK","public",40
"55","OFFICE_BLDG","private",719
"56","OFFICE_BLDG","public",417
"57","OTHER","private",60
"58","OTHER","public",210
"59","OTHER_ENTERTAINMENT","private",9
"60","OTHER_ENTERTAINMENT","public",124
"61","PARK","private",10
"62","PARK","public",212
"63","PARKING_GARAGE","private",65
"64","PARKING_GARAGE","public",430
"65","PARKING_LOT","private",89
"66","PARKING_LOT","public",1091
"67","PAY_GARAGE","private",6
"68","PAY_GARAGE","public",398
"69","PAY_LOT","private",5
"70","PAY_LOT","public",30
"71","PHARMACY","public",3
"72","PLACE_OF_WORSHIP","private",9
"73","PLACE_OF_WORSHIP","public",31
"74","PRISON","private",16
"75","PUBLIC","public",1316
"76","REC_SPORTS_FACILITY","private",7
"77","REC_SPORTS_FACILITY","public",128
"78","RENTAL_CAR_RETURN","private",2
"79","RENTAL_CAR_RETURN","public",2
"80","RESEARCH_FACILITY","private",27
"81","RESEARCH_FACILITY","public",8
"82","RESTAURANT","private",51
"83","RESTAURANT","public",424
"84","REST_STOP","public",28
"85","RETAIL","private",13
"86","RETAIL","public",34
"87","RV_PARK","private",1
"88","RV_PARK","public",5
"89","SCHOOL","private",48
"90","SCHOOL","public",111
"91","SHOPPING_CENTER","private",12
"92","SHOPPING_CENTER","public",708
"93","SHOPPING_MALL","private",3
"94","SHOPPING_MALL","public",145
"95","STADIUM","public",3
"96","STANDALONE_STATION","private",9
"97","STANDALONE_STATION","public",36
"98","STATE_GOV","private",77
"99","STATE_GOV","public",19
"100","STORAGE","public",5
"101","STREET_PARKING","private",1
"102","STREET_PARKING","public",76
"103","TRAVEL_CENTER","private",1
"104","TRAVEL_CENTER","public",139
"105","TRUCK_STOP","private",1
"106","TRUCK_STOP","public",22
"107","UTILITY","private",280
"108","UTILITY","public",150
"109","WORKPLACE","public",9
"110",NA,"private",664
"111",NA,"public",62197
