"","State","Access Code","Level1","Level2","Fast"
"1","AL","private",16,261,12
"2","AL","public",2,789,751
"3","AR","private",3,35,0
"4","AR","public",0,807,185
"5","AZ","private",9,290,7
"6","AZ","public",3,3186,1163
"7","CA","private",436,9401,319
"8","CA","public",256,41395,14325
"9","CO","private",24,514,30
"10","CO","public",55,5181,1200
"11","CT","private",55,442,4
"12","CT","public",10,3194,589
"13","DC","private",20,126,2
"14","DC","public",2,1214,62
"15","DE","private",3,29,0
"16","DE","public",2,476,287
"17","FL","private",325,760,20
"18","FL","public",26,9162,3181
"19","GA","private",26,263,7
"20","GA","public",196,4721,1490
"21","IA","private",4,53,0
"22","IA","public",0,695,445
"23","ID","private",4,52,0
"24","ID","public",0,387,200
"25","IL","private",46,333,17
"26","IL","public",6,3079,1433
"27","IN","private",8,111,3
"28","IN","public",0,1144,790
"29","KS","private",14,68,0
"30","KS","public",0,1042,267
"31","KY","private",15,43,0
"32","KY","public",4,673,333
"33","LA","private",33,77,1
"34","LA","public",1,468,317
"35","MA","private",28,554,3
"36","MA","public",24,8016,1139
"37","MD","private",17,377,13
"38","MD","public",14,4344,1070
"39","ME","private",18,55,0
"40","ME","public",3,1007,291
"41","MI","private",9,282,6
"42","MI","public",4,2998,1051
"43","MN","private",51,83,3
"44","MN","public",17,2042,747
"45","MO","private",12,109,0
"46","MO","public",0,2568,651
"47","MS","private",68,26,0
"48","MS","public",0,332,169
"49","MT","private",1,3,0
"50","MT","public",0,211,235
"51","NC","private",24,335,2
"52","NC","public",15,3952,1495
"53","ND","private",0,2,0
"54","ND","public",0,114,116
"55","NE","private",1,23,0
"56","NE","public",1,453,216
"57","NH","private",2,65,1
"58","NH","public",3,468,273
"59","NJ","private",6,449,4
"60","NJ","public",10,3538,1546
"61","NM","private",8,37,5
"62","NM","public",1,539,379
"63","NV","private",12,284,6
"64","NV","public",4,1609,885
"65","NY","private",29,921,39
"66","NY","public",11,15685,2193
"67","OH","private",31,253,7
"68","OH","public",7,3504,1208
"69","OK","private",4,83,2
"70","OK","public",3,631,968
"71","OR","private",45,234,8
"72","OR","public",29,2802,1102
"73","PA","private",36,226,3
"74","PA","public",13,3998,1378
"75","RI","private",61,87,0
"76","RI","public",20,727,122
"77","SC","private",12,150,7
"78","SC","public",1,1228,603
"79","SD","private",1,2,2
"80","SD","public",0,183,152
"81","TN","private",34,253,3
"82","TN","public",0,1828,795
"83","TX","private",95,628,8
"84","TX","public",11,8150,3578
"85","UT","private",14,127,6
"86","UT","public",5,2378,536
"87","VA","private",163,429,33
"88","VA","public",31,3985,1364
"89","VT","private",2,90,1
"90","VT","public",20,965,237
"91","WA","private",118,498,7
"92","WA","public",21,5941,1581
"93","WI","private",2,76,3
"94","WI","public",9,1231,676
"95","WV","private",17,14,2
"96","WV","public",2,333,166
"97","WY","private",2,11,2
"98","WY","public",1,154,132
