"","Groups With Access Code","TypeCount"
"1","PLANNED - not yet accessible (Private - Credit card at all times)",1
"2","PLANNED - not yet accessible (Private)",14
"3","PLANNED - not yet accessible (Public - Call ahead)",2
"4","PLANNED - not yet accessible (Public - Credit card at all times)",16
"5","PLANNED - not yet accessible (Public)",488
"6","Private",3855
"7","Private - Call ahead",13
"8","Private - Card key at all times",4
"9","Private - Credit card after hours",2
"10","Private - Credit card at all times",69
"11","Private - Fleet customers only",27
"12","Private - Government only",647
"13","Public",67768
"14","Public - Call ahead",1268
"15","Public - Card key after hours",1
"16","Public - Card key at all times",32
"17","Public - Credit card at all times",2160
"18","Public - Fleet customers only",2
"19","Public - Limited hours",7
"20","TEMPORARILY UNAVAILABLE (Private - Government only)",1
"21","TEMPORARILY UNAVAILABLE (Private)",13
"22","TEMPORARILY UNAVAILABLE (Public - Call ahead)",15
"23","TEMPORARILY UNAVAILABLE (Public - Credit card at all times)",31
"24","TEMPORARILY UNAVAILABLE (Public)",5544
