"","Open_yr","Access Code","TypeCount"
"1","1995","public",1
"2","1997","public",6
"3","1998","public",14
"4","1999","private",11
"5","1999","public",1
"6","2000","public",3
"7","2002","private",1
"8","2002","public",15
"9","2004","private",1
"10","2004","public",14
"11","2005","public",3
"12","2006","private",1
"13","2006","public",2
"14","2008","private",2
"15","2008","public",17
"16","2009","private",4
"17","2009","public",8
"18","2010","private",7
"19","2010","public",42
"20","2011","private",345
"21","2011","public",670
"22","2012","private",480
"23","2012","public",906
"24","2013","private",116
"25","2013","public",421
"26","2014","private",133
"27","2014","public",971
"28","2015","private",162
"29","2015","public",1703
"30","2016","private",119
"31","2016","public",1756
"32","2017","private",136
"33","2017","public",2019
"34","2018","private",179
"35","2018","public",2635
"36","2019","private",419
"37","2019","public",3229
"38","2020","private",444
"39","2020","public",6845
"40","2021","private",815
"41","2021","public",15747
"42","2022","private",388
"43","2022","public",11414
"44","2023","private",370
"45","2023","public",12998
"46","2024","private",425
"47","2024","public",12637
"48","2025","public",2895
"49",NA,"private",88
"50",NA,"public",362
